"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Cortinarius violaceus","Cortinarius violaceus","http://www.wikidata.org/entity/Q167887","188017","839006","14557"
"Crepidotus luteolus","Crepidotus luteolus","http://www.wikidata.org/entity/Q4240241","1004814","1069718","15164"
"Crepidotus mollis","Crepidotus mollis","http://www.wikidata.org/entity/Q2251383","155286","1065617","15664"
"Crepidotus variabilis ss. lato","Crepidotus variabilis","http://www.wikidata.org/entity/Q4240244","189090","963067","15679"
"Crinipellis scabella","Crinipellis scabella","http://www.wikidata.org/entity/Q10682133","1031497","280987","15457"
"Cystoderma amianthinum","Cystoderma amianthinum","http://www.wikidata.org/entity/Q470766","133722","242145","15415"
"Cystoderma jasonis","Cystoderma jasonis","http://www.wikidata.org/entity/Q10510623","192153","525822","15429"
"Cystolepiota hetieri","Cystolepiota hetieri","http://www.wikidata.org/entity/Q10656325","192304","601321","15648"
"Cystolepiota seminuda","Cystolepiota seminuda","http://www.wikidata.org/entity/Q3915674","192306","1019530",""
"Deconica coprophila-groep","Deconica coprophila","http://www.wikidata.org/entity/Q47528226","52787227","343467","673105"
"Deconica horizontalis ss. lato","Deconica horizontalis","http://www.wikidata.org/entity/Q20720220","39995921","820623","673108"
"Deconica inquilina ss. lato","Deconica inquilina","http://www.wikidata.org/entity/Q24056489","48906750","194915","673109"
"Deconica montana","Deconica montana","http://www.wikidata.org/entity/Q1891678","52787229","194910","673115"
"Delicatula integrella","Delicatula integrella","http://www.wikidata.org/entity/Q10477910","203649","406543","14787"
"Entoloma cetratum","Entoloma cetratum","http://www.wikidata.org/entity/Q3914276","1008777","341762","13561"
"Entoloma chalybaeum-groep","Entoloma chalybaeum","https://www.wikidata.org/wiki/Q10431745","46707206","341763","14661"
"Entoloma clypeatum","Entoloma clypeatum","http://www.wikidata.org/entity/Q1328691","154935","740910","15283"
"Entoloma conferendum","Entoloma conferendum","http://www.wikidata.org/entity/Q3915400","6702300","773971","13704"
"Entoloma fernandae ss. lato","Entoloma fernandae","http://www.wikidata.org/entity/Q14947302","1005032","3815443","15290"
"Entoloma hebes","Entoloma hebes","http://www.wikidata.org/entity/Q10484637","301939","14643","15101"
"Entoloma incanum","Entoloma incanum","http://www.wikidata.org/entity/Q901445","195445","261031","14735"
"Entoloma incarnatofuscescens","Entoloma incarnatofuscescens","http://www.wikidata.org/entity/Q4038101","1028939","3815353","15025"
"Entoloma pleopodium","Entoloma pleopodium","http://www.wikidata.org/entity/Q10510463","1028933","3814948","15056"
"Entoloma rhodocylix","Entoloma rhodocylix","http://www.wikidata.org/entity/Q10484751","6703068","3815347","13566"
"Entoloma rhodopolium ss. lato","Entoloma rhodopolium","http://www.wikidata.org/entity/Q2422232","159511","90928","15233"
"Entoloma sericellum","Entoloma sericellum","http://www.wikidata.org/entity/Q4038106","188733","169246","13701"
"Entoloma sericeum","Entoloma sericeum","http://www.wikidata.org/entity/Q10667808","10200518","287189","15040"
"Entoloma serrulatum","Entoloma serrulatum","http://www.wikidata.org/entity/Q10594059","195448","575192","13749"
"Entoloma sordidulum","Entoloma sordidulum","http://www.wikidata.org/entity/Q5231737","192164","575196","15257"
"Entoloma turbidum","Entoloma turbidum","http://www.wikidata.org/entity/Q10508142","188395","205836","13746"
"Entoloma undatum","Entoloma undatum","http://www.wikidata.org/entity/Q10425839","1008861","199892","13585"
"Flammula alnicola","Flammula alnicola","http://www.wikidata.org/entity/Q107675568","6686983","112255","673171"
"Flammulaster subincarnatus","Flammulaster subincarnatus","http://www.wikidata.org/entity/Q81162900","6711386","208787","673175"
"Flammulina velutipes","Flammulina velutipes","https://www.wikidata.org/wiki/Q372893","8619964","189792","15207"
"gaatjeszwammen1, niet behandeld","gaatjeszwammen1, niet behandeld","","","",""
"Galerina clavata","Galerina clavata","http://www.wikidata.org/entity/Q10431217","189194","99772","15263"
"Galerina graminea","Galerina graminea","http://www.wikidata.org/entity/Q10725929","11449731","4103964","673187"
"Galerina marginata ss. lato","Galerina marginata","http://www.wikidata.org/entity/Q248829","189220","666161","15052"
"Galerina paludosa","Galerina paludosa","http://www.wikidata.org/entity/Q4132374","189034","245826","15650"
"Galerina spp.","Galerina","http://www.wikidata.org/entity/Q948914","16646","112267","13433"
"Galerina vittiformis ss. lato","Galerina vittiformis","http://www.wikidata.org/entity/Q3757597","133832","670975","673190"
"Gomphidius glutinosus","Gomphidius glutinosus","http://www.wikidata.org/entity/Q790626","1017422","954794","14529"
"Gomphidius roseus","Gomphidius roseus","http://www.wikidata.org/entity/Q1931554","188341","1025503","13687"
"Gymnopilus fulgens","Gymnopilus fulgens","http://www.wikidata.org/entity/Q5624802","1009064","499522","13715"
"Gymnopilus junonius","Gymnopilus junonius","http://www.wikidata.org/entity/Q1830008","194263","112257","15468"
"Gymnopilus penetrans","Gymnopilus penetrans","http://www.wikidata.org/entity/Q10497177","198914","566260","159738"
"Gymnopus androsaceus","Gymnopus androsaceus","http://www.wikidata.org/entity/Q1486007","188333","5300502","673215"
"Gymnopus confluens","Gymnopus confluens","http://www.wikidata.org/entity/Q1150884","1005272","1069360","80789"
"Gymnopus dryophilus ss. lato","Gymnopus dryophilus","http://www.wikidata.org/entity/Q1663542","198916","368138","80786"
"Gymnopus erythropus","Gymnopus erythropus","http://www.wikidata.org/entity/Q10658921","198871","482416","80790"
"Gymnopus fusipes","Gymnopus fusipes","http://www.wikidata.org/entity/Q42052","197790","106239","80793"
"Gymnopus ocior","Gymnopus ocior","http://www.wikidata.org/entity/Q10510712","11452257","51746","80798"
"Gymnopus perforans","Gymnopus perforans","http://www.wikidata.org/entity/Q1345679","8548701","3820623","673219"
"Gymnopus peronatus","Gymnopus peronatus","http://www.wikidata.org/entity/Q909217","198875","909212","80799"
"Gymnopus quercophilus","Gymnopus quercophilus","http://www.wikidata.org/entity/Q10480485","8548700","5305811","673220"
"Gyroporus castaneus","Gyroporus castaneus","http://www.wikidata.org/entity/Q1165913","195239","697038","14746"
"Hebeloma crustuliniforme ss. lato","Hebeloma crustuliniforme","http://www.wikidata.org/entity/Q180150","188111","433926","15475"
"Hebeloma mesophaeum-groep","Hebeloma mesophaeum","http://www.wikidata.org/entity/Q1616471","6715715","197162","15602"
"Hebeloma sacchariolens ss. lato","Hebeloma sacchariolens","http://www.wikidata.org/entity/Q10475329","189348","117981","15428"
"Hemimycena candida","Hemimycena candida","http://www.wikidata.org/entity/Q5894162","189455","3823844","15539"
"Hemimycena spp.","Hemimycena","http://www.wikidata.org/entity/Q1615230","16785","963199","13594"
"Hemipholiota populnea","Hemipholiota populnea","https://www.wikidata.org/wiki/Q263721","11449986","245824","673236"
"Hohenbuehelia atrocoerulea-groep","Hohenbuehelia atrocoerulea","http://www.wikidata.org/entity/Q10431671","191167","3831511","14717"
"Hygrocybe acutoconica","Hygrocybe acutoconica","http://www.wikidata.org/entity/Q2255842","6676612","632426","14790"
"Hygrocybe ceracea","Hygrocybe ceracea","http://www.wikidata.org/entity/Q3915840","195745","110717","13568"
"Hygrocybe coccinea","Hygrocybe coccinea","http://www.wikidata.org/entity/Q39528","1008016","462737","14810"
"Hygrocybe conica","Hygrocybe conica","http://www.wikidata.org/entity/Q1434668","6676556","110716","15729"
"Hygrocybe insipida","Hygrocybe insipida","http://www.wikidata.org/entity/Q9374409","194304","87613","13627"
"Hygrocybe laeta","Hygrocybe laeta","http://www.wikidata.org/entity/Q2787544","6676513","632428","14530"
"Hygrocybe miniata","Hygrocybe miniata","http://www.wikidata.org/entity/Q3270155","195404","242148","15210"
"Hygrocybe pratensis","Hygrocybe pratensis","http://www.wikidata.org/entity/Q105056311","6685811","5688407","28184"
"Hygrocybe psittacina","Hygrocybe psittacina","http://www.wikidata.org/entity/Q177209","18454306","351551","14781"
"Hygrocybe russocoriacea","Hygrocybe russocoriacea","http://www.wikidata.org/entity/Q10571800","1008346","794589","14712"
"Hygrocybe virginea","Hygrocybe virginea","http://www.wikidata.org/entity/Q112037","18454286","5688414","13592"
"Hygrophoropsis aurantiaca","Hygrophoropsis aurantiaca","http://www.wikidata.org/entity/Q1265541","195773","600646","15617"
"Hygrophorus hypothejus","Hygrophorus hypothejus","http://www.wikidata.org/entity/Q1364735","1029777","115639","14676"
"Hypholoma capnoides","Hypholoma capnoides","http://www.wikidata.org/entity/Q1543695","1030033","898969","105248"
"Hypholoma dispersum","Hypholoma dispersum","http://www.wikidata.org/entity/Q10529843","152508","299355","673266"
"Hypholoma elongatum","Hypholoma elongatum","http://www.wikidata.org/entity/Q10572588","1007248","3817122","105249"
"Hypholoma fasciculare","Hypholoma fasciculare","http://www.wikidata.org/entity/Q752507","1030336","600624","80785"
"Hypholoma lateritium","Hypholoma lateritium","https://www.wikidata.org/wiki/Q198709","241379","595647","673268"
"Hypholoma subericaeum-groep","Hypholoma subericaeum","http://www.wikidata.org/entity/Q9295513","198438","245831","105306"
"Hypholoma udum","Hypholoma udum","http://www.wikidata.org/entity/Q10700550","198437","820625","105247"
"Inocybe asterospora","Inocybe asterospora","http://www.wikidata.org/entity/Q10680380","6706252","821621","13705"
"Inocybe cincinnata","Inocybe cincinnata","http://www.wikidata.org/entity/Q10715902","6705985","505977","15636"
"Inocybe cookei","Inocybe cookei","http://www.wikidata.org/entity/Q6036493","188183","300721","15215"
"Inocybe curvipes","Inocybe curvipes","http://www.wikidata.org/entity/Q10673624","1017261","430206","15719"
"Inocybe dulcamara ss. lato","Inocybe dulcamara","http://www.wikidata.org/entity/Q3480624","188006","69888","15199"
"Inocybe flocculosa","Inocybe flocculosa","http://www.wikidata.org/entity/Q10570445","1017413","827847","15651"
"Inocybe fuscidula","Inocybe fuscidula","http://www.wikidata.org/entity/Q10681645","6705937","511293","15550"
"Inocybe geophylla","Inocybe geophylla","http://www.wikidata.org/entity/Q1333853","6705994","489303","673296"
"Inocybe griseolilacina","Inocybe griseolilacina","http://www.wikidata.org/entity/Q10561628","154857","652319","15388"
"Inocybe haemacta","Inocybe haemacta","http://www.wikidata.org/entity/Q3018608","156981","251422","15022"
"Inocybe hirtella","Inocybe hirtella","http://www.wikidata.org/entity/Q70447411","10406791","1027637","13527"
"Inocybe lacera","Inocybe lacera","http://www.wikidata.org/entity/Q2992882","6706134","356627","15711"
"Inocybe lanuginosa ss. lato","Inocybe lanuginosa","http://www.wikidata.org/entity/Q10676687","11453446","356618","673298"
"Inocybe lilacina","Inocybe lilacina","https://www.wikidata.org/wiki/Q1824920","6705994","489303","673299"
"Inocybe maculata","Inocybe maculata","http://www.wikidata.org/entity/Q2277571","1030424","95903","15181"
